,Unnamed: 0,GDAY_DS,T_ID,BA
0,1,2020-05-05,SK,0.07
1,2,2020-05-06,SK,0.25
2,3,2020-05-07,SK,0.33
3,4,2020-05-08,SK,0.36
4,5,2020-05-10,SK,0.32
5,6,2020-05-12,SK,0.33
6,7,2020-05-13,SK,0.33
7,8,2020-05-14,SK,0.31
8,9,2020-05-15,SK,0.29
9,10,2020-05-16,SK,0.29
10,11,2020-05-17,SK,0.29
11,12,2020-05-19,SK,0.29
12,13,2020-05-20,SK,0.29
13,14,2020-05-21,SK,0.29
14,15,2020-05-22,SK,0.29
15,16,2020-05-23,SK,0.29
16,17,2020-05-24,SK,0.29
17,18,2020-05-26,SK,0.28
18,19,2020-05-27,SK,0.3
19,20,2020-05-28,SK,0.29
20,21,2020-05-29,SK,0.29
21,22,2020-05-30,SK,0.28
22,23,2020-05-31,SK,0.3
23,24,2020-06-02,SK,0.3
24,25,2020-06-03,SK,0.31
25,26,2020-06-04,SK,0.31
26,27,2020-06-05,SK,0.32
27,28,2020-06-06,SK,0.32
28,29,2020-06-07,SK,0.31
29,30,2020-06-09,SK,0.32
30,31,2020-06-11,SK,0.32
31,32,2020-06-11,SK,0.31
32,33,2020-06-12,SK,0.31
33,34,2020-06-13,SK,0.3
34,35,2020-06-14,SK,0.3
35,36,2020-06-16,SK,0.31
36,37,2020-06-17,SK,0.32
37,38,2020-06-18,SK,0.31
38,39,2020-06-19,SK,0.3
39,40,2020-06-20,SK,0.3
40,41,2020-06-21,SK,0.28
41,42,2020-06-23,SK,0.28
42,43,2020-06-25,SK,0.28
43,44,2020-06-25,SK,0.29
44,45,2020-06-26,SK,0.29
45,46,2020-06-27,SK,0.28
46,47,2020-06-28,SK,0.28
47,48,2020-06-30,SK,0.27
48,49,2020-07-01,SK,0.27
49,50,2020-07-02,SK,0.27
50,51,2020-07-03,SK,0.28
51,52,2020-07-04,SK,0.29
52,53,2020-07-05,SK,0.3
53,54,2020-07-07,SK,0.3
54,55,2020-07-08,SK,0.3
55,56,2020-07-09,SK,0.29
56,57,2020-07-10,SK,0.3
57,58,2020-07-11,SK,0.3
58,59,2020-07-13,SK,0.3
59,60,2020-07-14,SK,0.3
60,61,2020-07-15,SK,0.29
61,62,2020-07-16,SK,0.28
62,63,2020-07-17,SK,0.29
63,64,2020-07-18,SK,0.29
64,65,2020-07-19,SK,0.3
