,Unnamed: 0,GDAY_DS,T_ID,ER,WLS
0,1,2020-05-05,HT,11,0.0
1,2,2020-05-06,HT,2,0.0
2,3,2020-05-07,HT,5,0.33
3,4,2020-05-08,HT,4,0.25
4,5,2020-05-09,HT,13,0.2
5,6,2020-05-10,HT,3,0.33
6,7,2020-05-12,HT,1,0.43
7,8,2020-05-13,HT,3,0.5
8,9,2020-05-14,HT,4,0.44
9,10,2020-05-15,HT,7,0.4
10,11,2020-05-16,HT,4,0.45
11,12,2020-05-17,HT,5,0.42
12,13,2020-05-19,HT,2,0.46
13,14,2020-05-20,HT,0,0.5
14,15,2020-05-21,HT,1,0.53
15,16,2020-05-22,HT,0,0.56
16,17,2020-05-23,HT,3,0.59
17,18,2020-05-24,HT,2,0.56
18,19,2020-05-26,HT,0,0.0
19,20,2020-05-27,HT,5,0.33
20,21,2020-05-28,HT,6,0.25
21,22,2020-05-29,HT,6,0.2
22,23,2020-05-30,HT,5,0.33
23,24,2020-05-31,HT,13,0.43
24,25,2020-06-02,HT,2,0.5
25,26,2020-06-03,HT,2,0.44
26,27,2020-06-04,HT,3,0.4
27,28,2020-06-05,HT,5,0.45
28,29,2020-06-06,HT,2,0.42
29,30,2020-06-07,HT,3,0.46
30,31,2020-06-09,HT,2,0.5
31,32,2020-06-10,HT,0,0.53
32,33,2020-06-11,HT,12,0.56
33,34,2020-06-12,HT,3,0.59
34,35,2020-06-13,HT,0,0.56
35,36,2020-06-14,HT,4,0.58
36,37,2020-06-16,HT,4,0.55
37,38,2020-06-17,HT,4,0.52
38,39,2020-06-19,HT,4,0.5
39,40,2020-06-20,HT,3,0.52
40,41,2020-06-21,HT,11,0.5
41,42,2020-06-23,HT,4,0.52
42,43,2020-06-26,HT,5,0.54
43,44,2020-06-27,HT,2,0.56
44,45,2020-06-28,HT,1,0.54
45,46,2020-07-01,HT,3,0.52
46,47,2020-07-02,HT,1,0.5
47,48,2020-07-03,HT,2,0.52
48,49,2020-07-04,HT,9,0.53
49,50,2020-07-05,HT,7,0.52
50,51,2020-07-07,HT,6,0.53
51,52,2020-07-08,HT,7,0.54
52,53,2020-07-09,HT,3,0.53
53,54,2020-07-10,HT,7,0.54
54,55,2020-07-11,HT,3,0.55
55,56,2020-07-13,HT,3,0.56
56,57,2020-07-14,HT,5,0.58
57,58,2020-07-15,HT,2,0.56
58,59,2020-07-16,HT,8,0.55
59,60,2020-07-17,HT,2,0.56
60,61,2020-07-18,HT,6,0.55
61,62,2020-07-19,HT,8,0.53
